4:13.97 python /biggin/b195/lina3015/Documents/git/gninascripts/compute_row.py --pdbseqs seqs.dat --row 515 --out rows/row-515
5:46.13 python /biggin/b195/lina3015/Documents/git/gninascripts/compute_row.py --pdbseqs seqs.dat --row 510 --out rows/row-510
7:33.28 python /biggin/b195/lina3015/Documents/git/gninascripts/compute_row.py --pdbseqs seqs.dat --row 514 --out rows/row-514
7:40.05 python /biggin/b195/lina3015/Documents/git/gninascripts/compute_row.py --pdbseqs seqs.dat --row 513 --out rows/row-513
8:43.84 python /biggin/b195/lina3015/Documents/git/gninascripts/compute_row.py --pdbseqs seqs.dat --row 517 --out rows/row-517
8:58.00 python /biggin/b195/lina3015/Documents/git/gninascripts/compute_row.py --pdbseqs seqs.dat --row 518 --out rows/row-518
2:31.04 python /biggin/b195/lina3015/Documents/git/gninascripts/compute_row.py --pdbseqs seqs.dat --row 521 --out rows/row-521
4:22.63 python /biggin/b195/lina3015/Documents/git/gninascripts/compute_row.py --pdbseqs seqs.dat --row 522 --out rows/row-522
13:39.78 python /biggin/b195/lina3015/Documents/git/gninascripts/compute_row.py --pdbseqs seqs.dat --row 509 --out rows/row-509
13:47.92 python /biggin/b195/lina3015/Documents/git/gninascripts/compute_row.py --pdbseqs seqs.dat --row 512 --out rows/row-512
13:50.41 python /biggin/b195/lina3015/Documents/git/gninascripts/compute_row.py --pdbseqs seqs.dat --row 511 --out rows/row-511
11:38.40 python /biggin/b195/lina3015/Documents/git/gninascripts/compute_row.py --pdbseqs seqs.dat --row 519 --out rows/row-519
17:51.46 python /biggin/b195/lina3015/Documents/git/gninascripts/compute_row.py --pdbseqs seqs.dat --row 516 --out rows/row-516
4:12.67 python /biggin/b195/lina3015/Documents/git/gninascripts/compute_row.py --pdbseqs seqs.dat --row 529 --out rows/row-529
4:20.94 python /biggin/b195/lina3015/Documents/git/gninascripts/compute_row.py --pdbseqs seqs.dat --row 530 --out rows/row-530
9:47.99 python /biggin/b195/lina3015/Documents/git/gninascripts/compute_row.py --pdbseqs seqs.dat --row 528 --out rows/row-528
15:58.24 python /biggin/b195/lina3015/Documents/git/gninascripts/compute_row.py --pdbseqs seqs.dat --row 523 --out rows/row-523
15:49.23 python /biggin/b195/lina3015/Documents/git/gninascripts/compute_row.py --pdbseqs seqs.dat --row 524 --out rows/row-524
13:13.30 python /biggin/b195/lina3015/Documents/git/gninascripts/compute_row.py --pdbseqs seqs.dat --row 526 --out rows/row-526
15:56.58 python /biggin/b195/lina3015/Documents/git/gninascripts/compute_row.py --pdbseqs seqs.dat --row 525 --out rows/row-525
13:36.75 python /biggin/b195/lina3015/Documents/git/gninascripts/compute_row.py --pdbseqs seqs.dat --row 527 --out rows/row-527
3:52.68 python /biggin/b195/lina3015/Documents/git/gninascripts/compute_row.py --pdbseqs seqs.dat --row 534 --out rows/row-534
5:12.60 python /biggin/b195/lina3015/Documents/git/gninascripts/compute_row.py --pdbseqs seqs.dat --row 540 --out rows/row-540
14:33.01 python /biggin/b195/lina3015/Documents/git/gninascripts/compute_row.py --pdbseqs seqs.dat --row 539 --out rows/row-539
2:49.13 python /biggin/b195/lina3015/Documents/git/gninascripts/compute_row.py --pdbseqs seqs.dat --row 543 --out rows/row-543
10:59.25 python /biggin/b195/lina3015/Documents/git/gninascripts/compute_row.py --pdbseqs seqs.dat --row 542 --out rows/row-542
4:46.53 python /biggin/b195/lina3015/Documents/git/gninascripts/compute_row.py --pdbseqs seqs.dat --row 547 --out rows/row-547
